segment_id;run_id;segment_number;segment_type;segment_distance;segment_time;avg_pace;avg_hr;max_hr;;;;
20;1;20;Cooldown;0.12;00:28;03:45;172;181;;;;
21;1;21;Cooldown;1.00;08:52;08:52;156;181;;;;
22;1;22;Cooldown;0.83;05:40;06:48;164;167;;;;
30;2;8;Cooldown;0.85;05:00;05:54;151;159;;;;
50;3;21;Cooldown;1;06:31;06:31;166;172;;;;
51;3;22;Cooldown;1;06:43;06:43;165;169;;;;
52;3;23;Cooldown;0.26;01:46;06:48;162;166;;;;
61;4;9;Cooldown;0.71;05:00;07:00;161;166;;;;
62;4;10;Cooldown;0.63;04:00;06:24;155;160;;;;
68;5;6;Cooldown;0.73;05:00;06:52;143;148;;;;
74;6;6;Cooldown;1;04:57;04:57;168;177;;;;
80;7;6;Cooldown;0.66;05:00;07:38;141;149;;;;
104;8;24;Cooldown;1;06:29;06:30;152;160;;;;
105;8;25;Cooldown;1;06:13;06:13;152;160;;;;
106;8;26;Cooldown;0.29;02:18;07:51;141;146;;;;
113;9;7;Cooldown;0.71;05:00;07:03;149;170;;;;
123;10;10;Cooldown;0.84;0:05:00;05:56;161;164;;;;
132;11;9;Cooldown;0.68;05:00;07:22;144;159;;;;
155;12;23;Cooldown;1;07:00;07:00;146;155;;;;
156;12;24;Cooldown;1;06:45;06:45;144;157;;;;
157;12;25;Cooldown;0.19;01:15;06:44;146;148;;;;
170;13;13;Cooldown;0.62;05:00;08:05;137;152;;;;
194;14;24;Cooldown;1;06:54;06:54;156;165;;;;
195;14;25;Cooldown;0.99;08:07;08:14;144;157;;;;
204;15;9;Cooldown;0.83;05:00;06:03;160;163;;;;
218;16;14;Cooldown;0.65;05:00;07:41;141;147;;;;
224;17;6;Cooldown;0.80;05:02;06:17;156;159;;;;
233;18;9;Cooldown;0.97;05:00;05:09;164;173;;;;
251;19;18;Cooldown;0.86;05:00;05:48;172;175;;;;
252;19;19;Cooldown;0.27;01:29;05:34;173;175;;;;
276;20;24;Cooldown;1;08:34;08:34;166;182;;;;
277;20;25;Cooldown;0.82;06:26;07:49;170;178;;;;
287;21;10;Cooldown;0.61;05:00;08:08;173;182;;;;
315;23;7;Cooldown;0.44;04:15;09:45;139;145;;;;
323;24;8;Cooldown;0.6;05:00;08:19;143;148;;;;
346;25;23;Cooldown;1;07:32;07:32;151;165;;;;
347;25;24;Cooldown;0.97;07:28;07:42;145;149;;;;
364;26;17;Cooldown;0.76;05:00;06:35;153;155;;;;
383;27;19;Cooldown;1;07:57;07:57;153;167;;;;
384;27;20;Cooldown;0.87;07:03;08:09;150;162;;;;
392;28;8;Cooldown;0.71;05:00;07:04;172;184;;;;
415;29;23;Cooldown;1;08:45;08:45;151;167;;;;
416;29;24;Cooldown;0.53;03:18;06:15;164;170;;;;
427;30;11;Cooldown;0.75;05:00;06:39;162;174;;;;
445;31;18;Cooldown;0.88;05:00;05:41;160;164;;;;
111;9;5;Fast run;1;05:16;05:17;157;165;;;;
112;9;6;Fast run;0.9;04:43;05:14;164;169;;;;
130;11;7;Fast run;1;05:36;05:36;153;159;;;;
131;11;8;Fast run;0.79;04:24;05:35;159;162;;;;
202;15;7;Fast run;1;05:38;05:38;160;167;;;;
203;15;8;Fast run;0.8;04:22;05:29;161;163;;;;
285;21;8;Fast run;1;06:43;06:43;171;177;;;;
286;21;9;Fast run;0.54;03:18;06:09;179;182;;;;
390;28;6;Fast run;1;05:23;05:23;177;184;;;;
391;28;7;Fast run;0.87;04:37;05:20;183;185;;;;
425;30;9;Fast run;1;05:12;05:12;166;170;;;;
426;30;10;Fast run;0.93;04:48;05:09;170;174;;;;
5;1;5;Rest;0.10;00:45;07:46;157;162;;;;
7;1;7;Rest;0.07;00:45;10:31;166;172;;;;
9;1;9;Rest;0.07;00:45;11:24;171;176;;;;
